title,subtitle,price,description,link,main_image,alternate_image
Scalpel HTHi-MOD Ultimate,Hi-MOD Ultimate,"$11,000","The ultimate XC race hardtail with SRAM XX1 AXS wireless shifting, Lefty Ocho 110mm fork & HollowGram 25 carbon wheels",/en-us/bikes/mountain/cross-country/scalpel-ht/scalpel-ht-hi-mod-ultimate,https://embed.widencdn.net/img/dorelrl/fn67v2gljx/500px@1x/C22_C25101U_SCALPEL_HM_ULT_TRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/brouwazate/500px@1x/C22_C25101U_SCALPEL_HM_ULT_TRD_3Q.jpg?color=f8f8f8&q=90
Scalpel1,1,"$9,500","A 120mm cross-country ripper with SRAM XO AXS, DT Swiss XCR 1501 carbon wheels, and a Fox Float Factory 34 SC fork",/en-us/bikes/mountain/cross-country/scalpel/scalpel-1-c24254u,https://embed.widencdn.net/img/dorelrl/8ulv9inaab/500px@1x/C24_C24254U_Scalpel_Crb_1_RRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/rjiwyfsjfg/500px@1x/C24_C24254U_Scalpel_Crb_1_RRD_3Q.jpg?color=f8f8f8&q=90
Synapse Carbon1 RLE,1 RLE,"$9,050","Our famously smooth endurance road bike with SmartSense, Dura-Ace Di2 & carbon wheels",/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-1-rle,https://embed.widencdn.net/img/dorelrl/dx0f4zxlus/500px@1x/C22_C12102U_Synapse_Crb_1_RLE_SGY_PD.jpg?color=f8f8f8&q=90,/-/media/cannondale/synapse-carbon/uncategorized/c22_c12102u_synapse_crb_1_rle_sgy_3q.ashx
ScalpelCarbon SE Ultimate,Carbon SE Ultimate,"$8,800","Superfast XC/trail bike with SRAM AXS electronic shifting, 120mm Lefty Ocho & HollowGram carbon wheels",/en-us/bikes/mountain/trail-bikes/scalpel-se/scalpel-carbon-se-ultimate,https://embed.widencdn.net/img/dorelrl/29za9c2nel/500px@1x/C22_C24302M_Scalpel_Crb_SE_ULT_JDE_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/fq1zsdl7ed/500px@1x/C22_C24302M_Scalpel_Crb_SE_ULT_JDE_3Q.jpg?color=f8f8f8&q=90
Moterra SL1,1,"$8,750","Remarkably light, full power, trail eMTB w/ Shimano EP801 motor, 601Wh battery, Fox Float Factory suspension & SRAM XO AXS shifting",/en-us/bikes/electric/e-mountain/moterra-sl/moterra-sl-1-c65094u,https://embed.widencdn.net/img/dorelrl/lqmrt0s9xv/500px@1x/C24_C65094U_Moterra_Neo_SL_1_RAW_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/e9tz4lsrdp/500px@1x/C24_C65094U_Moterra_Neo_SL_1_RAW_3Q.jpg?color=f8f8f8&q=90
Synapse Neo,N/A,"$8,500","A comfortable, fast e-road bike built to go the distance, w/ Bosch Sprint 28mph drive unit, HollowGram carbon wheels and Shimano Ultegra Di2 electronic 12-speed group",/en-us/bikes/electric/e-road/synapse-neo/synapse-neo-c67114u,https://embed.widencdn.net/img/dorelrl/jtgjnvxdzi/500px@1x/C24_C67114U_Synapse_Neo_US_Speed_BLK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/uzldd6qpc5/500px@1x/C24_C67114U_Synapse_Neo_US_Speed_BLK_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOHi-MOD 2,Hi-MOD 2,"$8,300","Exceptionally fast and light road race bike, with Ultegra Di2, HollowGram R-SL 50 wheels and Vision Trimax Carbon Aero bars",/en-us/bikes/road/race/supersix-evo/supersix-evo-hi-mod-2,https://embed.widencdn.net/img/dorelrl/orquegmbcu/500px@1x/C23_C11202U_SuperSix_EVO_HM_2_BBQ_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/98ym4mecg8/500px@1x/C23_C11202U_SuperSix_EVO_HM_2_BBQ_3Q.jpg?color=f8f8f8&q=90
ScalpelHi-MOD 1,Hi-MOD 1,"$8,600","Our lightest full-suspension with SRAM AXS electronic shifting, Lefty Ocho Carbon fork & HollowGram carbon wheels",/en-us/bikes/mountain/cross-country/scalpel/scalpel-hi-mod-1,https://embed.widencdn.net/img/dorelrl/otbwwfv6mb/500px@1x/C22_C24202M_Scalpel_HM_1_WHT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/dvdxjewaoi/500px@1x/C22_C24202M_Scalpel_HM_1_WHT_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon1 Lefty,1 Lefty,"$7,850","Full suspension gravel bike with Lefty fork, SRAM Force AXS wireless shifting & carbon wheels",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-1-lefty,https://embed.widencdn.net/img/dorelrl/zr4raolgxr/500px@1x/C22_C15102U_Topstone_Crb_1_Lefty_RRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/43pwm5uacs/500px@1x/C22_C15102U_Topstone_Crb_1_Lefty_RRD_3Q.jpg?color=f8f8f8&q=90
Topstone Carbon1 RLE,1 RLE,"$7,850","Gravel bike with rear suspension, SmartSense radar & lights, wireless shifting, carbon wheels",/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-1-rle,https://embed.widencdn.net/img/dorelrl/vvvkncgx1o/500px@1x/C22_C15052U_Topstone_Crb_1_RLE_BPL_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/6ipsccndkh/500px@1x/C22_C15052U_Topstone_Crb_1_RLE_BPL_3Q.jpg?color=f8f8f8&q=90
MoterraCarbon 2,Carbon 2,"$7,750","An enduro eMTB, SRAM GX, 160mm RockShox Zeb Select fork & 67mi range Bosch motor",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-carbon-2-smu,https://embed.widencdn.net/img/dorelrl/zazrej57gm/500px@1x/C21_C65221M_Moterra_Neo_2_Crb_ALP_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/d8vee3v25j/500px@1x/C21_C65221M_Moterra_Neo_Crb_ALP_3Q.jpg?color=f8f8f8&q=90
Topstone Neo Carbon2,2,"$7,250",An electric gravel bike with Shimano GRX shifting & 78mi range Bosch motor,/en-us/bikes/electric/e-road/topstone-neo/topstone-neo-carbon-2-c62271m,https://embed.widencdn.net/img/dorelrl/m0hkt9s3mn/500px@1x/C21_C62271M_Topstone_Neo_Crb_BPL_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/3ghbkx0cnn/500px@1x/C21_C62271M_Topstone_Neo_Crb_BPL_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOHi-MOD Disc Ultegra Di2,Hi-MOD Disc Ultegra Di2,"$8,050",Our lightest frame with 2x12 electronic Shimano Ultegra shifting & carbon wheels,/en-us/bikes/road/race/supersix-evo/supersix-evo-hi-mod-disc-ultegra-di2-c11201u,https://embed.widencdn.net/img/dorelrl/fmapx7ii6p/500px@1x/C21_C11201U_SuperSix_EVO_HM_Disc_Ult_Di2_DTE_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/e89rej1zxg/500px@1x/C21_C11201U_SuperSix_EVO_HM_Disc_Ult_Di2_DTE_3Q.jpg?color=f8f8f8&q=90
SuperXForce eTap AXS,Force eTap AXS,"$7,050",Award winning carbon cyclocross race bike with wireless SRAM Force shifting & carbon wheels,/en-us/bikes/road/cyclocross/superx/superx-force-etap-axs,https://embed.widencdn.net/img/dorelrl/i9jbs3wgzw/500px@1x/C20_C17100M_SuperX_Force_eTap_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/euccjqui48/500px@1x/C20_C17100M_SuperX_Force_eTap_MAT_3Q.jpg?color=f8f8f8&q=90
Synapse CarbonLTD RLE,LTD RLE,"$7,050","Our famously smooth endurance road bike with SmartSense, a GRX Di2 group & carbon wheels",/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-ltd-rle,https://embed.widencdn.net/img/dorelrl/d1a2ef0cqg/500px@1x/C21_C12151U_Synapse_Crb_LTD_RLE_GMG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/swqeepgagk/500px@1x/C21_C12151U_Synapse_Crb_LTD_RLE_GMG_3Q.jpg?color=f8f8f8&q=90
Moterra SL2,2,"$7,000","Remarkably light, full power, trail eMTB w/ Shimano EP801 motor, 601Wh battery, Fox Performance 36 fork & Shimano XT/Deore 12-speed shifting",/en-us/bikes/electric/e-mountain/moterra-sl/moterra-sl-2-c65124u,https://embed.widencdn.net/img/dorelrl/ek9dhzodwc/500px@1x/C24_C65124U_Moterra_Neo_SL_2_TSK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/smtifftion/500px@1x/C24_C65124U_Moterra_Neo_SL_2_TSK_3Q.jpg?color=f8f8f8&q=90
HabitLTD,LTD,"$10,000","The ultimate fun-focused trail mtb - 130/140mm travel, SRAM XO AXS Transmission, DT Swiss carbon wheels & Pike Ultimate fork",/en-us/bikes/mountain/trail-bikes/habit/habit-ltd,https://embed.widencdn.net/img/dorelrl/juscsf8tqk/500px@1x/C23_C23103U_LTD_Habit_RPP_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/wmpb0p8wbn/500px@1x/C23_C23103U_LTD_Habit_RPP_3Q.jpg?color=f8f8f8&q=90
SuperSix EVO1,1,"$7,000","Beautifully fast and light road race bike, with SRAM Force AXS, HollowGram R-S 50 wheels and Vision Trimax Carbon Aero bars",/en-us/bikes/road/race/supersix-evo/supersix-evo-1,https://embed.widencdn.net/img/dorelrl/umgl5sxof3/500px@1x/C23_C11302U_SuperSix_EVO_Crb_1_MYG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/cl3ncdbvwc/500px@1x/C23_C11302U_SuperSix_EVO_Crb_1_MYG_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOCarbon Disc Force AXS,Carbon Disc Force AXS,"$6,550",World famous race bike with 2x12 wireless SRAM Force shifting & carbon wheels,/en-us/bikes/road/race/supersix-evo/supersix-evo-carbon-disc-force-axs,https://embed.widencdn.net/img/dorelrl/eiox7hxi0i/500px@1x/C21_C11501U_SuperSix_EVO_Crb_Disc_Force_AXS_BKM_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/gxpm43uv8x/500px@1x/C21_C11501U_SuperSix_EVO_Crb_Disc_Force_AXS_BKM_3Q.jpg?color=f8f8f8&q=90
Scalpel2,2,"$6,500","A 120mm cross-country ripper with SRAM GX AXS, HollowGram XC-S 27 carbon wheels, and a RockShox SID Select+ fork",/en-us/bikes/mountain/cross-country/scalpel/scalpel-2-c24304u,https://embed.widencdn.net/img/dorelrl/jhxn3vpxjr/500px@1x/C24_C24304U_Scalpel_Crb_2_SBK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ow2aptadob/500px@1x/C24_C24304U_Scalpel_Crb_2_SBK_3Q.jpg?color=f8f8f8&q=90
Moterra LTCarbon 1,Carbon 1,"$8,650","A hard-charging enduro eMTB - 170/165mm travel, Bosch 750Wh system, Shimano XT & Code RSC brakes",/en-us/bikes/electric/e-mountain/moterra-neo-lt/moterra-neo-carbon-lt-1-c25472u,https://embed.widencdn.net/img/dorelrl/vikvdqqeod/500px@1x/C22_C25472U_Moterra_Neo_Crb_LT_1_QSD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ft3tcqua7t/500px@1x/C22_C25472U_Moterra_Neo_Crb_LT_1_QSD_3Q.jpg?color=f8f8f8&q=90
MoterraCarbon 1,Carbon 1,"$8,600","A carbon trail eMTB with 150mm of travel, Bosch 750Wh system and Shimano XTR/XT 12-speed group",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-carbon-1-c25172u,https://embed.widencdn.net/img/dorelrl/ixvqd3vlw5/500px@1x/C22_C25172U_Moterra_Neo_Crb_1_ABB_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/uk0ycspyql/500px@1x/C22_C25172U_Moterra_Neo_Crb_1_ABB_3Q.jpg?color=f8f8f8&q=90
HabitLT LTD,LT LTD,"$9,000","The ultimate progressive trail mountain bike - 140/150mm travel, SRAM XO AXS Transmission, DT Swiss wheels & Lyrik Ultimate fork",/en-us/bikes/mountain/trail-bikes/habit/habit-lt-ltd,https://embed.widencdn.net/img/dorelrl/0ku1edo2xl/500px@1x/C23_C23203U_Habit_Crb_LT-LTD_MTG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/cdauytxbhh/500px@1x/C23_C23203U_Habit_Crb_LT-LTD_MTG_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOLAB71 Team Changeout Frameset,LAB71 Team Changeout Frameset,"$6,000",Ride like EF Pro Cycling with these limited edition LAB71 team framesets. Dream builds start here.,/en-us/bikes/road/race/supersix-evo/supersix-evo-lab71-team-changeout-frameset,https://embed.widencdn.net/img/dorelrl/rtbvc45mj8/500px@1x/C24_C11082U_LAB71_SuperSix_EVO_AM_Frm_RBX_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/ih67fmaazx/500px@1x/C24_C11082U_LAB71_SuperSix_EVO_AM_Frm_RBX_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOLAB71 Frameset,LAB71 Frameset,"$6,000",The ultimate road racing frameset. Your dream build starts here.,/en-us/bikes/road/race/supersix-evo/supersix-evo-lab71-frameset,https://embed.widencdn.net/img/dorelrl/0zavucjihn/500px@1x/C23_C11082U_LAB71_SuperSix_EVO_AM_Frm_BLK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/m6rrkivadk/500px@1x/C23_C11082U_LAB71_SuperSix_EVO_AM_Frm_BLK_3Q.jpg?color=f8f8f8&q=90
MoterraCarbon 2,Carbon 2,"$7,500","A carbon trail eMTB with 150mm of travel, Bosch 750Wh system and Shimano XT/SLX 12-speed group",/en-us/bikes/electric/e-mountain/moterra-neo/moterra-neo-carbon-2-c25272u,https://embed.widencdn.net/img/dorelrl/u9cm89u8vy/500px@1x/C22_C25272U_Moterra_Neo_Crb_2_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/qv81hudxtu/500px@1x/C22_C25272U_Moterra_Neo_Crb_2_MAT_3Q.jpg?color=f8f8f8&q=90
Synapse Carbon2 RLE,2 RLE,"$5,550",Our famously smooth endurance road bike with SmartSense & Ultegra Di2 electronic shifting,/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-2-rle,https://embed.widencdn.net/img/dorelrl/cj0k7gejqi/500px@1x/C22_C12202U_Synapse_Crb_2_RLE_GRY_PD.jpg?color=f8f8f8&q=90,/-/media/cannondale/synapse-carbon/uncategorized/c22_c12202u_synapse_crb_2_rle_gry_3q.ashx
Topstone Neo5,5,"$5,550",An electric alloy gravel bike with Shimano GRX shifting & 70mi range Bosch motor,/en-us/bikes/electric/e-road/topstone-neo/topstone-neo-5-smu,https://embed.widencdn.net/img/dorelrl/mshmauh49j/500px@1x/C21_C62561M_Topstone_Neo_5_BPL_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/prxso5vkas/500px@1x/C21_C62561M_Topstone_Neo_5_BPL_3Q.jpg?color=f8f8f8&q=90
Scalpel3,3,"$5,500","A 120mm cross-country ripper with Shimano XT 12-speed shifting, a RockShox SID Select fork, and DownLow dropper post",/en-us/bikes/mountain/cross-country/scalpel/scalpel-3-c24454u,https://embed.widencdn.net/img/dorelrl/n5qroplqeb/500px@1x/C24_C24454U_Scalpel_Crb_3_TSK_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/tmho29gj2q/500px@1x/C24_C24454U_Scalpel_Crb_3_TSK_3Q.jpg?color=f8f8f8&q=90
SuperSix EVO2,2,"$5,500","Beautifully fast and light road race bike, with Ultegra Di2, HollowGram R 45 wheels and Vision Trimax Carbon Aero bars",/en-us/bikes/road/race/supersix-evo/supersix-evo-2,https://embed.widencdn.net/img/dorelrl/le7q2fg98a/500px@1x/C23_C11402U_SuperSix_EVO_Crb_2_RAW_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/wehnv2oc34/500px@1x/C23_C11402U_SuperSix_EVO_Crb_2_RAW_3Q.jpg?color=f8f8f8&q=90
SystemSixCarbon Ultegra,Carbon Ultegra,"$5,400",Our aero road bike with 2x11 Shimano Ultegra shifting & carbon wheels,/en-us/bikes/road/race/systemsix/systemsix-carbon-ultegra,https://embed.widencdn.net/img/dorelrl/a59pmpehnb/500px@1x/C21_C11401M_SystemSix_Crb_Ult_CRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/sugdrvdb3f/500px@1x/C21_C11401M_SystemSix_Crb_Ult_CRD_3Q.jpg?color=f8f8f8&q=90
Moterra LTCarbon 2,Carbon 2,"$7,500","A hard-charging enduro eMTB with 170/165mm travel, Bosch 750Wh system, Shimano XT/SLX & Magura MT5 brakes",/en-us/bikes/electric/e-mountain/moterra-neo-lt/moterra-neo-carbon-lt-2-c25572u,https://embed.widencdn.net/img/dorelrl/d2dahjxeqy/500px@1x/C22_C25572U_Moterra_Neo_Crb_LT_2_BBQ_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/jn2ayklvb0/500px@1x/C22_C25572U_Moterra_Neo_Crb_LT_2_BBQ_3Q.jpg?color=f8f8f8&q=90
Mavaro Neo1 Low StepThru,1 Low StepThru,"$5,250","A premium urban electric experience, with Bosch Performance Line Speed drive-unit 28mph / 750Wh, up to 108mi range.",/en-us/bikes/electric/e-urban/mavaro-neo/mavaro-neo-1-low-stepthru,https://embed.widencdn.net/img/dorelrl/wpabnggea5/500px@1x/C24_C68044U_Mavaro_Neo_1_C3_LSTH_CRD_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/bh0onso5hl/500px@1x/C24_C68044U_Mavaro_Neo_1_C3_LSTH_CRD_3Q.jpg?color=f8f8f8&q=90
ScalpelCarbon 3,Carbon 3,"$5,050",A lightning-fast XC bike with Shimano SLX shifting & 100mm Lefty Ocho fork,/en-us/bikes/mountain/cross-country/scalpel/scalpel-carbon-3,https://embed.widencdn.net/img/dorelrl/lwuzxaikqa/500px@1x/C21_C24401M_Scalpel_Crb_3_MRC_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/slvw53byyh/500px@1x/C21_C24401M_Scalpel_Crb_3_MRC_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOSE,SE,"$5,200","Our fastest gravel race bike, 2x12 SRAM Rival shifting",/en-us/bikes/road/gravel/supersix-evo-se/supersix-evo-se,https://embed.widencdn.net/img/dorelrl/nup4udtkrk/500px@1x/C21_C17102U_SuperSix_EVO_SE_MTG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/jrplwejehz/500px@1x/C21_C17102U_SuperSix_EVO_SE_MTG_3Q.jpg?color=f8f8f8&q=90
Scalpel HTHi-MOD 1,Hi-MOD 1,"$6,050","Our fastest XC hardtail with Shimano XTR shifting, Lefty Ocho 110mm fork & carbon wheels",/en-us/bikes/mountain/cross-country/scalpel-ht/scalpel-ht-hi-mod-1,https://embed.widencdn.net/img/dorelrl/igegtdwkij/500px@1x/C21_C25201U_Scalpel_HT_HM_1_WHT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/xxvrs47rl0/500px@1x/C21_C25201U_Scalpel_HT_HM_1_WHT_3Q.jpg?color=f8f8f8&q=90
ScalpelCarbon 2,Carbon 2,"$6,350","A lightning-fast XC bike with Shimano XT shifting, 100mm Lefty Ocho fork & carbon wheels",/en-us/bikes/mountain/cross-country/scalpel/scalpel-carbon-2,https://embed.widencdn.net/img/dorelrl/zdvxrhrum2/500px@1x/C21_C24301M_Scalpel_Crb_2_GRA_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/l3q5hkxict/500px@1x/C21_C24301M_Scalpel_Crb_2_GRA_3Q.jpg?color=f8f8f8&q=90
SuperSix EVOCarbon Disc Rival AXS,Carbon Disc Rival AXS,"$4,650",World famous race bike with 2x12 SRAM Rival shifting,/en-us/bikes/road/race/supersix-evo/supersix-evo-carbon-disc-rival,https://embed.widencdn.net/img/dorelrl/1gefvvmh0a/500px@1x/C21_C11631U_SuperSix_EVO_Crb_Disc_Rival_AXS_MAT_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/wt9cdpxgbr/500px@1x/C21_C11631U_SuperSix_EVO_Crb_Disc_Rival_AXS_MAT_3Q.jpg?color=f8f8f8&q=90
Tesoro NeoX 1,X 1,"$4,650",A rugged urban ebike with up to 105mi range Bosch motor & front suspension,/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-1-smu,https://embed.widencdn.net/img/dorelrl/qugtauglnu/500px@1x/C21_C66221M_Tesoro_Neo_X_MTG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/infzergsqo/500px@1x/C21_C66221M_Tesoro_Neo_X_MTG_3Q.jpg?color=f8f8f8&q=90
Tesoro Neo X1 Remixte,1 Remixte,"$4,650",A rugged urban step-thru ebike with up to 105mi range Bosch motor & front suspension,/en-us/bikes/electric/e-touring/tesoro-neo-x/tesoro-neo-x-1-remixte-smu,https://embed.widencdn.net/img/dorelrl/tcdjdthr5t/500px@1x/C21_C66221U_Tesoro_Neo_X_MTG_PD.jpg?color=f8f8f8&q=90,https://embed.widencdn.net/img/dorelrl/i2owog0afq/500px@1x/C21_C66221U_Tesoro_Neo_X_MTG_3Q.jpg?color=f8f8f8&q=90
